Origin Country,Named Delivery Place [NDP],Incoterm,Commodity,Specific Commodity,GMO,Packaging Type,Price      ($/mt),Last Updated,Capacity (mt),Lead Time (days),Source
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,1115,42405,100000,60,OSP
ARGENTINA,SANTA FE (ARGENTINA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT GREEN PEAS,Non GMO,Bag,490,42406,100000,60,OSP
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,595,42411,100000,60,OSP
CANADA,MERSIN (TURKEY),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,728,42411,100000,60,OSP
DJIBOUTI,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,650,42411,100000,60,OSP
CAMEROON,GAROUA (CAMEROON),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,368.44,42422,100000,60,OSP
NIGER,NIAMEY (NIGER),DAP,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,305,42429,100000,60,OSP
HONDURAS,SAN PEDRO SULA (HONDURAS),FOB,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,590,42445,100000,60,OSP
HONDURAS,SAN PEDRO SULA (HONDURAS),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,725,42465,100000,60,OSP
RUSSIA,MERSIN (TURKEY),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,520,42502,100000,60,OSP
TANZANIA,ARUSHA (TANZANIA),DAP,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,535.06,42503,100000,60,OSP
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,340,42527,100000,60,OSP
BELGIUM,ANTWERP (BELGIUM),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (WSB++),Non GMO,Bag,929.85,42552,100000,60,OSP
HONDURAS,COMAYAGUA (HONDURAS),DAP,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,493.76,42619,100000,60,OSP
INDIA,MUNDRA (INDIA),FOB,Sugar (FOOD - MISCELLANEOUS),WHITE SUGAR,Non GMO,Bag,0,42629,100000,60,OSP
MEXICO,SANTIAGO DE CUBA (CUBA),CFR,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Pet Bottle,1290,42681,100000,60,OSP
INDIA,MANESAR (INDIA),FCA,LNS (FOOD - MIXED & BLENDED FOODS),LNS - LARGE QUANTITY (RUSF),Non GMO,Sachet,2350,42690,100000,60,OSP
SOUTH AFRICA,CAPETOWN (SOUTH AFRICA),FCA,LNS (FOOD - MIXED & BLENDED FOODS),LNS - LARGE QUANTITY (RUSF),Non GMO,Sachet,2400,42697,100000,60,OSP
INDIA,MUNDRA (INDIA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Sachet,2550,42711,100000,60,OSP
MOZAMBIQUE,CHIMOIO (MOZAMBIQUE),FCA,Peas (FOOD - PULSES & VEGETABLES),PIGEON PEAS,Non GMO,Bag,587.5,42720,100000,60,OSP
KENYA,MOMBASA (KENYA),FCA,LNS (FOOD - MIXED & BLENDED FOODS),LNS - LARGE QUANTITY (RUSF),Non GMO,Sachet,2733,42724,100000,60,OSP
ARGENTINA,ROSARIO (ARGENTINA),FOB,Lentils (FOOD - PULSES & VEGETABLES),LENTILS,Non GMO,Bag,1280,42746,100000,60,OSP
EL SALVADOR,ACAJUTLA (EL SALVADOR),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,594,42759,100000,60,OSP
NICARAGUA,CORINTO (NICARAGUA),FOB,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Bag,1205,42759,100000,60,OSP
NICARAGUA,CORINTO (NICARAGUA),FOB,Vegetable Oil (FOOD - OILS & FATS),SUNFLOWER OIL,Non GMO,Bag,1268,42759,100000,60,OSP
NICARAGUA,CORINTO (NICARAGUA),FOB,Vegetable Oil (FOOD - OILS & FATS),PALMOLIEN OIL,Non GMO,Bag,1040,42759,100000,60,OSP
EL SALVADOR,ACAJUTLA (EL SALVADOR),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1450,42762,100000,60,OSP
OMAN,DUBAI (UTD.ARAB EMIR.),DAP,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Sachet,1025,42767,100000,60,OSP
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,470,42807,100000,60,OSP
TURKEY,IZMIR (TURKEY),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,290,42523,100000,60,SCIPS
CHINA,DALIAN (CHINA),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,42153,100000,60,SCIPS
VIETNAM,HOCHIMINH CITY (VIETNAM),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,336,42815,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,345,42815,100000,60,SCIPS
MEXICO,PUERTO ALTAMIRA (MEXICO),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,980,42773,100000,60,SCIPS
CANADA,MONTREAL (CANADA),DAT,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,940,42444,100000,60,SCIPS
USA,GULFPORT (USA),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,395,42815,100000,60,SCIPS
RUSSIA,MERSIN (TURKEY),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,1050,42411,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Peas (FOOD - PULSES & VEGETABLES),WHOLE GREEN PEAS,Non GMO,Bag,0,42411,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FCA,Peas (FOOD - PULSES & VEGETABLES),WHOLE YELLOW PEAS,Non GMO,Bag,525,42804,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Peas (FOOD - PULSES & VEGETABLES),WHOLE GREEN PEAS,Non GMO,Bag,330,42814,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,600,42411,100000,60,SCIPS
DENMARK,AARHUS (DENMARK),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,502,41992,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Wheat (FOOD - CEREALS & GRAINS),HARD WHEAT,GMO,Bulk,220,42326,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,290,42523,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bulk,205,42804,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,200,42804,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,715,42411,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),PINTO BEANS,Non GMO,Bag,731,42153,100000,60,SCIPS
RUSSIA,TAMAN (RUSSIA),FOB,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bulk,190,42451,100000,60,SCIPS
BRAZIL,SANTOS (BRAZIL),FOB,Sugar (FOOD - MISCELLANEOUS),WHITE SUGAR,Non GMO,Bag,630,42629,100000,60,SCIPS
SENEGAL,TEMA (GHANA),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,157.45,41626,100000,60,SCIPS
NAMIBIA,WALVIS BAY (NAMIBIA),FOB,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,85,42335,100000,60,SCIPS
PAKISTAN,PORT QASIM (PAKISTAN),FOB,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,143,41779,100000,60,SCIPS
SENEGAL,DAKAR (SENEGAL),FOB,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,0,40914,100000,60,SCIPS
COLOMBIA,CARTAGENA (COLOMBIA),FOB,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,175,42822,100000,60,SCIPS
TURKEY,IZMIR (TURKEY),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Bag,0,41285,100000,60,SCIPS
ITALY,VENEZIA (ITALY),EXW,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Bag,0,41894,100000,60,SCIPS
UTD.ARAB EMIR.,JEBEL ALI (UTD.ARAB EMIR.),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Packet,1099,42620,100000,60,SCIPS
INDONESIA,SURABAYA (INDONESIA),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Packet,0,42234,100000,60,SCIPS
FRANCE,ROUEN (FRANCE),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Sachet,2544,42648,100000,60,SCIPS
FRANCE,ROUEN (FRANCE),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Sachet,2575.26,42648,100000,60,SCIPS
USA,ELIZABETH (USA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Sachet,2930,42648,100000,60,SCIPS
THAILAND,BANGKOK (THAILAND),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,346,42815,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,375,42815,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,398,42815,100000,60,SCIPS
URUGUAY,MONTEVIDEO (URUGUAY),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,0,41320,100000,60,SCIPS
CANADA,ST.LAWRENCE (CANADA),FOB,Wheat (FOOD - CEREALS & GRAINS),HARD WHEAT,GMO,Bulk,284,42055,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bulk,321,42783,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,GMO,Bulk,316,42801,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bulk,211,42804,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,GMO,Bulk,206,42804,100000,60,SCIPS
BRAZIL,PARANAGUA (BRAZIL),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,194,41992,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,187,41992,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,0,41957,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bag,0,41599,100000,60,SCIPS
AUSTRALIA,ADELAIDE (AUSTRALIA),FOB,Wheat (FOOD - CEREALS & GRAINS),WHEAT,GMO,Bulk,246,42055,100000,60,SCIPS
THAILAND,BANGKOK (THAILAND),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,343,42815,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,370,42815,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,366,42815,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,338,42815,100000,60,SCIPS
VIETNAM,HOCHIMINH CITY (VIETNAM),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,353,42815,100000,60,SCIPS
URUGUAY,MONTEVIDEO (URUGUAY),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,0,42041,100000,60,SCIPS
URUGUAY,MONTEVIDEO (URUGUAY),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,427,42699,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,0,41922,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Wheat (FOOD - CEREALS & GRAINS),SOFT WHEAT,GMO,Bulk,222,42326,100000,60,SCIPS
THAILAND,BANGKOK (THAILAND),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,345,42815,100000,60,SCIPS
THAILAND,BANGKOK (THAILAND),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,335,42815,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,385,42815,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,380,42815,100000,60,SCIPS
URUGUAY,MONTEVIDEO (URUGUAY),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,42047,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,41922,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,472,42699,100000,60,SCIPS
TURKEY,AMBARLI (TURKEY),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,257,42691,100000,60,SCIPS
SPAIN,CADIZ (SPAIN),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,340,42523,100000,60,SCIPS
LATVIA,RIGA (LATVIA),FOB,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,450,41593,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,307,42783,100000,60,SCIPS
ARGENTINA,SAN LORENZO (ARGENTINA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,200,41992,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,512,42783,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,Non GMO,Bag,426,42461,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,GMO,Bag,421,42398,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,380,42815,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bulk,312,42783,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,0,42411,100000,60,SCIPS
CHINA,DALIAN (CHINA),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,753.8,42369,100000,60,SCIPS
USA,SEATTLE (USA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,523,42160,100000,60,SCIPS
MEXICO,TAMPICO (MEXICO),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,0,40969,100000,60,SCIPS
AUSTRALIA,MELBOURNE (AUSTRALIA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,487,41950,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,1180,42411,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,1300,42411,100000,60,SCIPS
USA,MERSIN (TURKEY),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,1450,41081,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Pet Bottle,1025,42587,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Pet Bottle,1180,42814,100000,60,SCIPS
TURKEY,IZMIR (TURKEY),FOB,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Pet Bottle,1050,42720,100000,60,SCIPS
UKRAINE,ODESSA (UKRAINE),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,407,42569,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,525,42725,100000,60,SCIPS
EGYPT,ALEXANDRIA (EGYPT),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,497,42055,100000,60,SCIPS
ARGENTINA,PUERTO CORTEZ (HONDURAS),CFR,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,0,41915,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,650,42411,100000,60,SCIPS
EGYPT,ALEXANDRIA (EGYPT),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,974,42411,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,1200,42744,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,GMO,Bag,216,42804,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (WSB++),Non GMO,Bag,963.4,42552,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,1400,42153,100000,60,SCIPS
CHINA,DALIAN (CHINA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,0,41452,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,820,41684,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,492,42783,100000,60,SCIPS
CANADA,MERSIN (TURKEY),FOB,Split Lentils (FOOD - PULSES & VEGETABLES),SPLIT RED LENTILS,Non GMO,Bag,979,42369,100000,60,SCIPS
ARGENTINA,SAN LORENZO (ARGENTINA),FOB,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bulk,180,42383,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,485,42643,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Rice (FOOD - CEREALS & GRAINS),10% BROKEN RICE,Non GMO,Bag,355,41663,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Bulgur Wheat (FOOD - CEREALS & GRAINS),BULGUR WHEAT,Non GMO,Bag,309,42585,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bulk,269,42642,100000,60,SCIPS
RUSSIA,NOVOROSSIYSK (RUSSIA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bulk,187,41992,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41397,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41173,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),HABAS/FABA,Non GMO,Bag,0,41424,100000,60,SCIPS
KENYA,MOMBASA (KENYA),FCA,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,110,42103,100000,60,SCIPS
UGANDA,KAMPALA (UGANDA),FCA,Beans (FOOD - PULSES & VEGETABLES),MIXED BEANS,Non GMO,Bag,646.85,42811,100000,60,SCIPS
